id|short_title|location|view_date|text
80219|dracula|DVD at home|2002-05-28|<p>\"You like totally killed the vampire, Ted!. I never would have watched this movie again, I had thought, since I couldn't really remember anything about it that I didn't remember from the book. But my roommate is reading the book for class, since the professor recommended that they watch the movie at home to look for certain things. That placed me on the couch, since I had to eat dinner anyway. I cannot say that I stayed awake, though.</p><p>Ted, er, um, Jonathan, is sent to Transylvania to broker a real estate deal with Vlad Tepes, otherwise known as Count Dracula. Jonathan's fiance, Mina,  remains in London, but as she is the reincarnation of Dracula's wife, they have a strong connection. Jonathan gets trapped in the castle while the count makes for London, where he slowly turned Mina's friend Lucy into a vampire and begins to court Mina in his younger, more attractive form. But then Jonathan escapes.</p><p>It is very hard to take this film seriously. Even with his slight attempt to affect an accent, Keanu still comes off as Ted \"Theodore\" Logan. I kept expecting him to lope around like in the other movie. The whole shadow thing gets quite annoying very quickly as well. There were also several places in the film where I was struck by the anachronism of a situation, but I cannot even remember what they were now. I laughed too many times at places which shouldn't have been laughed at. Then, of course, you have the gratuitous use of breasts throughout the film for no really good reason.</p><p>Positive aspects of the movie. Well, I too would come back from the dead if I got to get with Winona. Gary Oldman is always good, especially when he's the \"bad\" guy.. And, the wonderfully symbolic scene from the movie where the three wives are sucking Jonathan's blood, and then to placate them Dracula gives them a baby to suck on. Such is the lot of women in this society.</p><p>I wouldn't put anyone through this film. It isn't the worst film I've ever seen, but I wasn't disappointed when I fell asleep during the thing. If you are into vampires, there are better movies, and at the very least, the book is actually quite good.</p>
80220|cestlavie|DVD at home|2002-05-29|<p>This film probably first entered my radar because of the French title on a Hong Kong film. I wasn't able to confirm one way or the other whether this was a remake of an older film. In any case, it has gotten plenty of good reviews, and I think it won quite a few awards the year it came out.</p><p>Kit leaves his girlfriend, Tracy who is a famous singer, and takes up residence above a family that performs to local crowds, particularly Chinese opera. Min, the daughter, takes a liking to Kit, and their friendship and relationship develops, exploring a side of Kit that he hadn't really exposed before.</p><p>When I watched this film, I didn't know what the catch was. I didn't know and so I was surprised when the film took the turn it did. Even before that happens, the film was already quite good, and the way in which it deals with an issue that is typically not done well is very respectable. This is perhaps the best Hong Kong romances I have seen (although I haven't really seen that many, excluding romantic comedies). The ending isn't exactly happy, but it also isn't as depressing as it may first seem on the surface.</p><p>I most certainly recommend this film. Don't watch it if you are looking to be in a good mood afterwards, but if you want an emotionally moving film, you won't be disappointed.</p>
80221|saltoftheearth|Video at UCLA|2002-05-30|<p>I've seen this movie a few times, but seeing it more will never hurt. It is a classic film that everyone should see. It was banned in the United States. It was made by people who had been blacklisted for refusing to testify in the McCarthy hearings. The lead actress was deported during filming to try to prevent the movie from being made. Needless to say, it had trouble getting distributed. Oh yeah, and the events are based on an actual strike in 1950.</p><p>Ramon Quintero is an outspoken miner in a small Zinc mine in New Mexico. His wife, Esperanza, is pregnant with their third child when the miners decide it is time to strike, following yet another accident caused by the miners being forced to work solo. Of course, it is only the \"Mexican\" miners who face such conditions, although it threatens everyone's life. To boot, they get paid less and live in substandard housing compared to the Anglo miners, who have sanitation and heated water. As the strike drags on, we see how the women and children also suffer. But when an injunction prevents the miners from picketing, it is only by overcoming their differences and prejudices that they are going to be able to win.</p><p>This movie rocks. Except for about 6 or 7 people, the bulk of the cast are actually miners and their wives who participated in the original strike. The story is a dramaticization, written to get the point across, but everything is quite real. It is really a textbook to how a strike can be one, i.e. by spreading the strike and making sure that you cannot be divided. As long as the Anglo miners and the Mexican miners don't have equality, they cannot win. And furthermore, as long as the male miners cannot come to terms with the necessary role their wives play, they will not be able to win. The actions of a few individuals can influence many, and turn a tide when things are at the brink. In addition, this is probably the most progressive film ever made in the United States about women. They are actually human beings with wills and capacities of their own, something that you just don't see on film.</p><p>Everyone should watch this film. Sure, some lame assholes aren't going to understand it, or are going to harp on technical issues while oblivious of the reality behind the movie. But, for everyone else, the movie holds an incredible amount of value, both for the contents and for the circumstances surrounding its creation.</p>
80222|happygilmore|DVD at home|2002-06-01|<p>I'd caught the first few minutes of this film some time ago, and had a fairly favorable impression of it, but just never got around to renting it. It came up among my roommates, and I decided to get ahold of it sooner, rather than later.</p><p>Happy Gilmore wants to play hockey, and he has a pretty strong slap shot. The problem is, he sucks at everything else on the ice. That, and he has a temper that puts him into the penalty box as soon as he hits the ice. When his grandmother gets evicted from her house for failure to pay taxes, he needs to come up with serious money quickly. He's challenged to hit a golf ball, and soon learns that he has an amazing drive. He gets picked up for a pro tour, but things are bound to be rocky, since he don't know the least bit about golf.</p><p>This movie is hilarious, from the early scenes when the Chinese woman knocks on his door, to my favorite scene when Happy and Bob Barker go at it on the green. There are a few points in the movie where the absurdity gets to be too much, or the jokes just don't quite hit the mark. But, for the most part, this film is going to be a solidly pleasurable viewing experience.</p><p>I definitely recommend this film to people. To be honest, I wasn't a fan of Sandler when he was on <strong>SNL</strong>, and I wasn't greatly impressed by some of his movies (<strong>Waterboy</strong>, <strong>Little Nicky</strong> ), but when the movie goes a bit more serious, I like his style and performance.</p>
80223|godofgamblers|Video at home|2002-06-01|<p>It's almost embarrassing that I've never seen this film. Of course, I've only seen a few of Chow Yun-Fat's films. When it came up as a topic of conversation recently with a couple friends, I realized that I should fill in the gaps in my education. I didn't even know the premise of the film beforehand, although I could sort of guess from the various imitations and parodies I have seen.</p><p>Ko Chun is the god of gamblers. But, with a promise to compete against another famous gambler coming up, he tumbles down a cliff and loses his memory, reverting to a child-like state. He comes into the care of a couple of thugs and their hot girlfriend. She prevents them from taking his money, but they do manage to use him to shark some gambling dens throughout town. But when the pieces as to who he really is start to fit together, it can get quite dangerous.</p><p>This is a fun film, although at times the role which Chow is playing can get on one's nerves. Unfortunately, the copy we rented wasn't very good, and apparently, they haven't fixed up this film yet, so there aren't really any quality copies around. The one really cool thing about this film is that Chow doesn't pick up a gun until almost the end of the film, and then it is just for a brief segment. The rest of the time, he is either afraid of them or is the suave type who lets other people use the guns for him.</p><p>Definitely a film worth checking out, if for nothing else just so that you have seen one of the classics of Hong Kong cinema.</p>
80224|brandedtokill|DVD at home|2002-06-03|<p>There was a Suzuki Seijun retrospective at the Nuart several years ago, which brought this director to my attention, but I never managed to actually go see any of the films. Since <a href=\"http://www.criterionco.com\" title=\"Criterion Collection\">Criterion</a> saw fit to put a couple of his movies on DVD, I knew they had to be worth checking out. This was the first one I could get my hands on. Beyond the above, I really didn't know much about what to expect, although I do know that the production company, Nikkatsu, does a lot of pink films now.</p><p>Hanada is a top ranked killer in Japan, but he is not number one. We get a glimpse of his daily life, both at home and at work. But one day his misses his target because a butterfly lands on the barrel of his rifle just as he's about to fire. This spells out his doom, and he is firmly aware at this point that he is marked for death for the \"mistake.\"</p><p>I had a hard time following this movie. The basic plot is relatively easy to follow, but the movie is consciously bizarre. Everything is quite disjointed, in every possible sense. At times you think there is plenty of symbolism, but then you cannot be sure. I cannot say this was a pleasant viewing experience.</p><p>I wouldn't recommend this film to anyone. Apparently there are some die hard fans of both the director and the lead actor, but from this movie I cannot honestly assess why.</p>
80225|kingofcomedy|DVD at home|2002-06-07|<p>I was looking forward to this film because the synopsis I had read mentioned the pan of John Woo/Chow Yun-Fat movies. That, and the fact that Stephen Chow has just made some great movies. The only downside to his movies is that many of the references are probably lost on foreign audiences. I get a number of the jokes because I've watched so many films, but I'm sure I'm missing  things as well.</p><p>Wan Tin-Sau keeps trying to get into the movies, bugging his aunt to get him onto the set as an extra or anything. Occasionally he gets his chance, but he always screws up. In the meantime, he runs a local rec center. Word of his ability to teach acting for free attracts the hostesses of a nearby club, who need coaching on how to pretend to be virginal college girls. That's how he means Piu-piu. And then the opportunity to star in a film drops in his lap when he somehow wins the eye of a leading actress, Cuckoo.</p><p>The scene which imitates John Woo films is enough reason to see this film. If you've seen only a few of them, you will be rolling on the floor laughing. The rest of the film is pretty good too. My only real complaint is that they do too good of a job making Cecilia look ugly for most of the film.</p><p>I definitely recommend this film. Stephen Chow is a pleasure to watch, and most of his jokes hit when they should.</p>
80226|gotellitonthemountain|Video at friend's house|2002-06-08|<p>A friend and I were at the video store looking for something to rent and watch at his place, and I didn't really have a lot of ideas (and this despite the fact that my movie queue is almost 500 movies long!). The problem was, we wanted something serious. I came across this, and although I have never read any James Baldwin, it seemed like it should be a good movie. Apparently, the movie is based on the autobiographical book of the same title.</p><p>John Grimes, on the cusp of fourteen, is growing up in Harlem sometime in the 20s or 30s (the film doesn't make it clear). His step-father, Gabriel, is a devoutly religious man who is more concerned with discipline for the child than anything else. As event unfold, we learn about Gabriel's past in the south, including the circumstances of his sister fleeing the family for the north and his siring of an illegitimate child with a woman who had been raped by white men and was thus tainted.</p><p>Events of the movie are hard to follow at times, but the pace is so slow that there is plenty of time to catch up. Religion plays a key role in the film, and the piece is mostly thematic. There really isn't a heavy plot, more just issues that come up with time. It seemed to do a good job of depicting the times, both the South of the turn of the century and the period of John's childhood.</p><p>I probably wouldn't recommend the film. Although the film doesn't have a \"religion is the answer\" message so directly, there is so much of it in there that I couldn't help but be turned off. Gabriel is represented quite well, but he is still not a respectable figure in my opinion by the end of the film.</p>
80227|harvey|DVD at home|2002-06-08|<p>This has been on my list of movies to see for a while. I mean, who can resist a movie about a guy who talks to a 6-foot tall rabbit. I've also been wanting to see more of the classic black and white films, and I know that James Stewart is good on screen.</p><p>Elwood P. Dow. is known by everyone in town, probably in part because his family is fairly well off. His sister and niece are having a hard time, however, dealing with the fact that Mr. Dowd talks to a 6 foot rabbit that most other people cannot see. They are drinking buddies, and they spend quite a bit of time down at Charley's. When Elwood disrupts a social gathering that his sister has sponsored for the express purpose of matching up her daughter, she decides to have him committed. That's not as easy as it sounds.</p><p>This is a delightful film whose strongest point seems to be its ability to poke fun at our definitions of sanity and the profession of psychology in general. The doctor doesn't seem to be able to diagnose anyone right, from Elwood and his sister to the attractive nurse who assists him. Although Stewart's portrayal seems to be a bit too much at times, a bit too out of touch, the acting is quite good (Hull won the Oscar that year). And the characters, though a couple are exaggerated at times, are believable.</p><p>This is an excellent story, and it is worth it for anyone to get hold of. The DVD includes an intro by Stewart recorded back in 1990, but isn't worth the extra effort. I'd probably like to watch this film again sometime in the years to come.</p>
80228|uhf|DVD at home|2002-06-09|<p>I was a huge \"Weird Al\" fan growing up. I had all of his albums (tapes, actually, at that time) probably up until the time I left for college. So, needless to say, <strong>UHF</strong> was destined to be a favorite movie from the moment I heard it was coming out. And then a while back I heard that it was coming out on DVD with plenty of cool extras. Now I just have to find the time to watch them all.</p><p>George Newman has a wild imagination, but it only seems to be good for getting him fired and making him late for appointments with his girlfriend. And then his uncle wins a failing UHF station in a poker game and decides to put George in charge. With some creative programming, the station quickly rises to the top, beating out the network affiliate in the ratings. But the uncle's gambling habits force him to put the station up for sale, and the rival owner at Channel 8 wants to buy the station and turn it into a parking lot.</p><p>At this point, some of the jokes are a bit too old, but the movie is still hilarious. It pokes fun at TV and movies from the eighties as well as adding it its own brand of humor. There are lines from this movie that come to  mind quite often, and it was nice to finally fill in my roommate on what we are talking about whenever we buy red snapper.</p><p>I'm looking forward to the commentary track on this disc, and am certain that I won't be disappointed with my purchase. I cannot say the movie is for everyone, but it is worth a look by all. I love it.</p>
80229|metropolis|DVD at home|2002-06-13|<p>I heard about this movie when it played in the art theaters here in Los Angeles, but never got around to seeing it. I honestly didn't know much about it, I was just attracted by the fact that it seemed like a more sophisticated anime and that it was based on Tezuka Osamu (aka the grandfather of manga) work. Got it on DVD without realizing that it was also loosely based on the 1920's German film of the same name, which I actually didn't like.</p><p>Kenichi and his uncle come from Japan to Metropolis to track down and arrest Dr. Laughton, a notorious mad scientist. At the same time, the Ziggurat has been complete, the greatest building on the planet built under the control of the Red Duke. As Kenichi and his uncle close in on the doctor, his lab is destroyed. Kenichi survives the fire with Tima, who no one realizes is a robot. There are competing factions who want to find Tima, though for what end is another question.</p><p>The animation for this movie is absolutely stunning. There are many scenes which will just wow you. In addition, the music is excellent, with a lot of 20's style jazz and a few other tunes that just fit the bill. Unfortunately, that's where my appreciation for the film ends. It isn't horrible, and certainly no where near as bad as the Fritz Lang film, but the story just doesn't do anything for me in the end. I'm not motivated behind any of the characters. The underlying message, as well, is the age-old fear of what technology will do to human kind and \"humanity.. This is a question that the Japanese have learned to obsess over more than anyone, so it isn't exactly a new theme.</p><p>If you are an anime fan, I'm sure you will enjoy this film. For my money, however, there are better things to spend your time watching.</p>
80230|longestnite|Laemmle Sunset 5 Theatre|2002-06-15|<p>The <a href=\"http://www.asianfilm.org\" title=\"Asian Film Foundation\">Asian Film Foundation</a> is showing an Asian film at midnight every two weeks this summer, and this was their opening night. I only recently got into Johnnie To films, but I have to say that none of them have left me disappointed yet. The difficult thing was staying awake long enough on a Friday to watch a midnight movie.</p><p>Tony has just come back into Macau. He's got business to arrange. Sam is a cop, but he's also one of the top men in the triads. The two triads are currently trying to come to an agreement, since an older boss is looking to bring them both under thumb. The only way they can handle this threat is to work together. But then one boss is slain, and a couple more important people come up missing. And tonight at midnight, it will all be resolved.</p><p>This was a great movie, and it shows that there is a niche in Hong Kong that Hollywood can never hope to fill. Neither character is a good guy. You come to know them, to like them, be interested in what is going to happen to them, but you wouldn't ever consider them moral or upright individuals. The plot is also full of twists and turns that keep you on your toes. And the ending comes as a bit of a surprise.</p><p>I definitely recommend this film. I saw it in a theater, and while in line some people were talking about how the version available on video isn't very good at all because the subtitles are so small. That might shy some away, but if you can get a good copy or see it on the big screen, it is worth it.</p>
80231|sunshinestate|Landmark Westside Pavilion Cinemas|2002-06-22|<p>I'm always anxious for a new John Sayles movie, but they almost always sneak up on me. I first heard about this one in a summer movie preview magazine a few months ago, but then could never keep the title in my head to search it out. Luckily, I managed to notice that it was opening this last weekend and made it in.</p><p>Desiree returns to her hometown in Lincoln Beach, Florida, which she had abandoned as a young girl. She has not seen her mother since, and only written occasionally. Marly is running the restaurant and motel that her father owns, since his diabetes keeps him at home. And developers have come into town, looking to buy up property to establish a high-classed resort area on the island that was once the only Black-accessible beach on the East Coast.</p><p>Sayles is always an impressive director, and this is no exception. The story isn't so directly moving or political as some of his other films, but the messages still come across. There are many characters who get thrown at the viewer, but it is very easy to distinguish them and grow to be concerned about their lives (unlike many films which have a heavy cast). The acting, in turn, is also superb. I was struck at the end of the film by the fact that everyone in the film was beautiful, but not in the Hollywood sense of the term.</p><p>Sayles is not a director for everyone, which is why this was shown at an art theater and not in the mainstream cinemas. But, if you can enjoy a movie with realistic characters, realistic situations, and no explosions or swooning love stories, you shouldn't miss this film. It isn't his best, but it still shines bright.</p>
80232|threekings|DVD at home|2002-06-23|<p>When the previews for this movie first came out, it looked quite lame... in part because it was about the Gulf War. But then a friend of mine saw it and told me what it was actually about. I don't remember if I saw it in the theater or shortly after it came out on video, but I thoroughly enjoyed it. I put off getting it on DVD because I had trouble verifying if there were different editions out, but finally got it recently.</p><p>After the cease fire of the Gulf War, four soldiers find a map to a bunker containing Kuwaiti gold. Seeing it as the perfect opportunity to make a little extra money, they set off one day to find the bunker. What they find isn't so wonderful, with Iraqi soldiers mobilized against the people who until recently President Bush had been calling on to rise up against Saddam Hussein. And, of course, the U.S. military isn't going to do anything about it (they actually rearmed the Iraqi army so it could do this).</p><p>This is a wonderful movie. It has most of the aspect you would expect from a Hollywood movie, but actually comes through as intellectually stimulating as well. The overall plot is a hero story, but there are so many little details that make the movie quite rich. You see the kinds of jobs they have at home. You see the kinds of attitudes people have. And most importantly, you see a bit of what was going on in Iraq. The interrogation scene is magnificent, from the Michael Jackson question through the revelation of who exactly taught the guy how to torture people.</p><p>This is a must-see film for anyone alive today. It is so very rare that a movie with political substance comes out of Hollywood, so they must be cherished when they do come along.</p>
80233|cgs3|DVD at home|2002-06-24|<p>Well, I saw no reason not to finish off the series. I know that sequels usually aren't worth much, and I didn't expect anything special in this case either. All one really can expect is more of Joey Wong, who plays the role wonderfully.</p><p>Fong, a young monk, and his master are transporting a golden buddha (I cannot remember if there is ever any why to this). They encounter Yin, a swordsman, who took the name from an old man he honered (from the earlier films). And then there is Lotus, the ghost who comes to seduce the monks staying in the old temple so her tree-spirit master can eat their souls, but then turns around and falls for the young monk. The plot is pretty much the same as the first movie, with only Joey returning for the cast.</p><p>The movie is fun, and there are several well placed jokes. Joey is as pleasant as expected. Other than that, there really isn't anything to shout about here. If you've seen the first two movies, and enjoyed them, then you'll probably enjoy this one as well. But it doesn't go on the list of classics as the first one does.</p>
80234|doubletap|DVD at home|2002-06-24|<p>Other than reading a review of the movie at some point which indicated that it was one of the better movies of 2000, I didn't know anything about this film going into it. It wasn't until the movie had started that I figure out exactly what a \"double tap\" was. But, as we all know, it isn't hard to get me to watch a Hong Kong film.</p><p>Rick has retired from sport shooting, although he used to be one of the best. He still modifies guns for other competitors, but that's about it. When a few people are assassinated, the speed of the job leads the police to suspect one of the champion shooters. Miu, who was the last person to compete with Rick, pulls Rick in, but doesn't have anything on him. Sure that he is guilty, Miu then trumps up charges against Rick's girlfriend. Big mistake.</p><p>The movie was quite unexpected. I went in thinking it was going to be an action movie, and it turned to be more of a thriller. I was a little confused even at the end as to what the time frame was for certain sequences, since there is a part of the movie which explicitly says it takes place several years earlier. But, everything still falls into place. The outcome is a little unexpected, though it seemed they could have played up more on some dramatic moments.</p><p>I'd recommend this film to other people. The plot is enjoyable to follow, and doesn't get bogged down.</p>
80235|irongiant|DVD at home|2002-06-29|<p>Although I heard about this film quite a bit, I didn't really know much about the plot going into it. But hey, with the ratings it got, it had to be worth checking out. That, and although I haven't caught more than one of his films to day, I heard that Vin Diesel voiced the giant.</p><p>Shortly after Sputnik has been launched into space, something else crash lands just off the coast of Maine. Everyone assumes the sailor who lost his ship was just drunk, but then the young boy Hogarth Hughes comes upon the iron giant while tracking down what became of his TV antenna. After saving the giant's life, they become friends. But, there is a federal agent in town who is determined to track down the giant and destroy it. Then there is the problem of feeding the new friend, who lives by consuming metal.</p><p>This was an amazingly fun movie. There are little political jabs, although nothing really meaty, and plenty of other humor to keep it lively. The story is geared towards children, but certainly maintains an adult appeal. The art is also quite interesting, showing 1950s influence while taking advantage of modern techniques. And the moral at the end of the story isn't overbearing.</p><p>This is definitely worth a watch for anyone. It isn't deep, introspective cinema, but will certain make for an entertaining evening if you are up for something light.</p>
80236|samehada|Laemmle Sunset 5 Theatre|2002-06-29|<p>Not being all that up on recent Japanese cinema (well, most of it is marginal in Japan as well), I didn't hear about this movie until I saw that it was showing for the <a href=\"http://www.asianfilm.org/events/MAS_051802.html\" title=\"Midnight At sunset\">Midnight @ Sunset</a> series. Reading the description, it sounded like it would be a fun movie. And, hey, I need to practice my Japanese.</p><p>The beautiful but timid Momojiri Toshiko decides to make an escape. She's grown up in this remote mountain town and works at the hotel run by an older man who we soon learn is just a little too obsessed with her. As she flees, she meets up with Samehada, a yakuza who has decided to quit and take off with a bit of cash that Mr. Tanuki thinks belongs to him. Obviously, the yakuza aren't going to let this lie. But, neither is the hotel owner, who hires Yamada to track down Toshiko and bring her back.</p><p>This is a funny movie with a plot that pulls you in and keeps your attention. Every character in the film is unique, loaded with one quirk or another. The main characters are also quite endearing. Samehada has the sensibilities and know-how of a decent yakuza, but the decency of gentleman. And you cannot help but rooting for Toshiko as she breaks out of her shell.</p><p>I would definitely recommend this film to anyone. Its flavor is a bit in the vein of Tarantino, so if you have enjoyed his films, you won't be disappointed here.</p>
80237|ditto|DVD at home|2002-06-30|<p>I've already reviewed this <short=\"ditto\">film</a>. I was in the mood for the movie last night, though I cannot say that watching a somewhat depressing romance is the best thing for those times when you aren't feeling so happy about one's lack of a love life. It is still a great movie.</p>
80238|bourneidentity|Loews Cineplex Beverly Center Cineplex|2002-07-03|<p>I probably would have never seen this film if it hadn't been for other people taking me to see it. I had heard of it, and it looks sorta interesting, but nothing special. I heard many people at work talking about how much they had liked the book when they'd read it oh so many years ago. People seemed to like the movie, though they didn't have anything stellar to report.</p><p>In the seas south are Marseilles, a body is found floating in the water. Still alive, the fellow suffers from amnesia, but also has two bullet wounds in his back and a small device in his hip that contains the information to a bank account in Zurich. Once ashore, he heads to the bank to find out who he is, and opens a deposit box filled with various passports, money, and a gun. But someone spots him at the bank and they are soon trying to take him (alive or dead). Desperate to get to Paris, Jason Bourne (the most common name among the various IDs he finds) gets the assistant of a Cooper-driving European girl.</p><p>Well, the word from my companion who had read that book was that this is a complete re-write. That isn't really a bad thing, just that the movie has very little to do with the book. Overall, it was fun. There are some enjoyable action scenes. The down side is that the whole \"who am I?\" thing gets dragged on way too long. The pieces of this puzzle are just a bit to clear to be surprised when he finds out who he's been working for.</p><p>The movie is fun, and that's about all there is to it. It doesn't have a lot of substance, and wouldn't be at the top of my list of ways to kill times, but you won't want to unwatch it when the credits start rolling.</p>
80239|fightclub|DVD at home|2002-07-04|<p>I've already seen this <short=\"fightclub\">movie</a> twice, but I bought a copy for myself recently and was really in the mood to watch it yesterday. I needed something uplifting. After mulling this movie over in my head more and more, I came to like it that much more. Everyone should see this movie, and hopefully soon I'll actually read the book too.</p>
80240|mulhollanddrive|DVD at home|2002-07-04|<p>I'm not a die-hard Lynch fan, and haven't even seen his TV series that many people rave about. The movie barely entered my radar when it was in the theaters. But then my roommate contacted me and said he could get the DVD for just over $5, so I figured there was nothing to loose there, given that the movie did get excellent reviews.</p><p>Wow, how do you summarize the plot of a David Lynch movie, particularly when the movie is a mystery. There is a traffic accident on Mulholland Drive, and the woman who manages to survive wanders down into Hollywood. She ends up in a home soon to be occupied by Betty, an innocent girl from Canada looking to make it into pictures. Rita, as she calls herself after looking at an old movie poster, doesn't remember who she is. That, and she has a bag full of money and a key. We also have a movie director, Adam, who is being forced to cast a particular actress in his lead role. That, and Billy Ray Cyrus is banging his wife.</p><p>The movie is good, and I will watch it again at some point, probably in an attempt to make sense of everything. There are shifts at a few points that were hard to follow for me because I confused a couple actresses, but I think I've figure out now. The DVD comes with some clues to help you along in analyzing the mystery, but I failed to read them ahead of time. Don't make the same mistake if you are watching this film.</p><p>I can definitely understand why this movie got such high marks. Besides the amazing cinematography, the plot is quite interesting to follow. If only it was easier to piece together.</p>
80241|boysdontcry|DVD at home|2002-07-04|<p>Another one of those movies that I've sorta been wanting to see for a while, but just never got around to it. Cannot say this is the kind of movie that most of the people I hang out with are gonna watch. But the subject matter, and that it got quite a bit of acclaim from respectable quarters was enough for me to finally sit down with it.</p><p>Teena Brandon wants to be a guy, but it keeps getting her in trouble. She isn't up front about her sexuality, and given that she grew up in Nebraska, it should go without saying that the reaction when others find out is generally hostile. Chopping her hair short, she ends up in a small town, getting  mixed in with some \"white trash\" there. She falls in love with Lana, but trouble with the law threatens to reveal to all her new friends what she really is.</p><p>The movie is quite touching and extraordinarily well done. The acting is  excellent, and the depiction of midwestern life in generally accurate. Teena isn't the perfect person, and rarely seems to make the right decisions, but that is the charm of the movie. Being based on real events, don't expect a happy ending.</p><p>I liked the film, though I cannot say I'd want to watch it again. Obviously, if the depiction of a midwestern lesbian with image issues doesn't appeal to you, then the film isn't worth checking out, but otherwise it is worth the go. And hey, the lead actress is actually from the same town as the main character.</p>
80242|akira|DVD at home|2002-07-05|<p>Like many of my generation, this was the first real anime I saw. I don't remember when it was, sometime in high school after it was already out on video. But when it came out, it was absolutely amazing: for its animation as well as the story. When they released it on DVD after cleaning it up and redoing the translation, I had to buy it. But then I never got around to watching it. I owe this to half-days.</p><p>Tetsuo, Kaneda and the rest of their friends are a teenage biker gang (believe me, that doesn't sound as bizarre in Japan as it does here) in Neo-Tokyo, the year 2029 (or 2030). World War III had been set off by a new type of weapon exploding and destroying old Tokyo. The government is slowly losing control of things, and the military is stepping up its presence. In this, Tetsuo crashes his bike into a psionic kid, unleashing powers in his own body as a result. Kaneda and company do what they can to help their friend, but they are just teenages and the military is involved. Then there is the question of Akira, around which a number of people have developed a  doomsday cult.</p><p>Although the animation isn't nearly as impressive now, the movie is still quite enjoyable. I also feel that I understand what's going on much better with age, because the ending was quite baffling the first time I saw the movie. It is only appropriate that this movie introduced a lot of people to anime, because the underlying theme is basically the same one you get in every other Japanese sci-fi. That is, what is the result of technology on mankind and how can we deal with it. For many, that's a very tired question, but it all gets made up for in the storytelling.</p><p>If by some chance you haven't seen this film yet, it is definitely worth checking out, and not just as a \"history\" lesson. I'm not a big anime fan, since most of it is immature crap. This is one of the rare ones that can hold adult interest.</p>
80243|dasboot|DVD at home|2002-07-07|<p>I hadn't heard of this movie until they released the director's cut a few years ago. At that time, a friend of mine into German military history helped bring the movie to my attention. I'd been wanting to see it since then, though not with any great motivation. The 3-and-a-half hour run time on it is what kept killing it as a selection when I went to the video store. As it stands, I had this DVD on hand for a month before I finally sat down to watch the whole thing.</p><p>The German U-boats, once the scourge of the seas, were quickly losing their threat as World War II progressed and technology advanced. In the end, three-quarters of the U-boats that went out never came back. Despite this, Hitler insisted on sending them out. Our story starts with the crew of a boat the night before they are to set sail. With so many sailors in a watery grave, the captain in his mid-thirties is an old man compared to his crew of 17-25 year olds. On board is an observer, who takes photos and expects to report back to the fatherland about the majesty of the ships and their crews. What follows is the nightmare which being trapped in a boat under seas.</p><p>Although incredibly slow at times, this movie does what it set out to do, which is give the viewer a sense of what it was like to be on one of these ships. I could tell that seeing this film in a theater could be worth it, since the sound is of utmost importance. You really develop a sympathy for what these guys had to go through. To boot, it is all based on real-life experience (of the guy who plays the observer, I believe).</p><p>This movie isn't for everyone. You have to be sincerely interested in the issues, in watching a serious movie to gain an understanding of what things were like for other people. The action is spaced too far apart for your average film, but it is worth watching.</p>
80244|usualsuspects|DVD at home|2002-07-08|<p>I think this movie came out while I was in Japan. At least, that seems like the best excuse for why I'd never heard of it. Then a few years ago, I was introduced to it by my roommate at the time. I got hold of the movie then and watched it with my girlfriend from the time, and then she watched it again the next day she liked it so much. When I heard that it was being released as a special edition DVD, it wasn't a hard choice as to whether I was going to buy it.</p><p>Six weeks ago, the usual suspects were all called in to be in a line up for a heist of a truck moving gun parts. Unable to pin the crime on anyone, they all get released, but then decide to do a job together anyway. Getting their hands on some emeralds, then they have to head to Los Angeles to fence the goods. A series of event leads up to last night, with an explosion at the harbor leaving a large number of dead bodies and only two survivors. One is a Hungarian man with burns over most of his body. The other is Verbal Kent, who has been granted immunity.</p><p>The ending of this movie is still great, even when you know its coming. Everything fits together so nicely. It's hard to really explain things any more than this. The only other thing I can think of is just to point out that this is one of those movies where you are going to be routing for the \"bad guys.\"</p><p>If you haven't seen this film yet, I have to ask why. The only excuse I can think of for anyone is that they are timid of violence, but I don't find that an acceptable excuse.</p>
